Unnamed: 0,product,title,content,date,author,rating,url,sentiment
749,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor Reviews,wow,retailnet trusted seller buy without doubt,2/1/2023,sandE .,5,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?pid=PSRGCXCN3SMGTM6R&lid=LSTPSRGCXCN3SMGTM6RBILA3K&marketplace=FLIPKART,positive
508,Intel Core i7-13700K Gaming Desktop Processor 16 cores (8 P-cores + 8 E-cores) with Integrated Graphics - Unlocked,great cpu,super fast problem installing game light productivity thing issue overheating,9/1/2023,silly goose,5,https://www.amazon.com/Intel-i7-13700K-Desktop-Processor-P-cores/product-reviews/B0BCF57FL5/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=9,positive
556,Intel Core i5-13600KF Desktop Processor 14 cores (6 P-cores + 8 E-cores) - Unlocked,great performance,issue added system year cpu world better game smoother overall process faster iaaaaaam glad upgraded especially paired great upgrade option,5/1/2024,Clinton Peterson,1,https://www.amazon.com/Intel-i5-13600KF-Desktop-Processor-P-cores/product-reviews/B0BCF5CZ16/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,negative
465,Intel Core i7-13700K Gaming Desktop Processor 16 cores (8 P-cores + 8 E-cores) with Integrated Graphics - Unlocked,super fast run hot,super fast stable cpu note run hot higher voltage use made sure get nice aio coupled arctic freeze rarely get,11/1/2023,Mikhail E Merkurieff,5,https://www.amazon.com/Intel-i7-13700K-Desktop-Processor-P-cores/product-reviews/B0BCF57FL5/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=4,positive
144,Intel Core i7-12700KF Gaming Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked LGA1700 600 Series Chipset 125W,perfect,work well rtx minecraft shaders turned max,2/1/2024,Aaron tyus,5,https://www.amazon.com/Intel-i7-12700KF-Desktop-Processor-Unlocked/product-reviews/B09FXKHN7M/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=4,positive
17,"Intel Core I5 12400F 12 Gen Generation Desktop Pc Processor 6, CPU with 18Mb Cache and Up to 4.40 Ghz Clock Speed Ddr5 and Ddr4 Ram Support Lga 1700 Socket, Micro ATX",best value processor,good processor build low budget computer processor install separate graphic card display would also say installing cooler liquid cooler also important processor heat,10/1/2022,bharat kukadiya,5,https://www.amazon.in/Intel-Generation-Desktop-Processor-Warranty/product-reviews/B09MDFH5HY/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&filterByStar=five_star,positive
866,Intel Core i5-10400 10TH GENERATION 3 GHz Upto 4.3 GHz LGA 1200 Socket 6 Cores 12 Threads 12 MB Smart Cache Desktop Processor Reviews,simply awesome,prosno additional graphic card requiredbest entry mid level gamersstock cooler work fineoriginal product genuine intel seal warrantycountry origin vietnamconsno clocking allowed base clock speed ghzon use graphic card additional pump cooler required,6/1/2021,Satya Prakash Mishra,5,https://www.flipkart.com/intel-core-i5-10400-10th-generation-3-ghz-upto-4-3-lga-1200-socket-6-cores-12-threads-mb-smart-cache-desktop-processor/product-reviews/itma5329f085c3ad?pid=PSRFTYA2E9AGFBNE&lid=LSTPSRFTYA2E9AGFBNEIHP4FO&marketplace=FLIPKART,positive
152,Intel Core i7-12700KF Gaming Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked LGA1700 600 Series Chipset 125W,work great,better buy new computer compatible old one thanks,1/1/2024,Amazon Customer,5,https://www.amazon.com/Intel-i7-12700KF-Desktop-Processor-Unlocked/product-reviews/B09FXKHN7M/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=5,positive
169,Intel Core i7-12700KF Gaming Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked LGA1700 600 Series Chipset 125W,powerful cpu,work really great havenaaaaaat tried volt iaaaaaam sure could get ghz run pretty hot make sure get least rad pretty good tower cooler would recommend,7/1/2023,Cory,5,https://www.amazon.com/Intel-i7-12700KF-Desktop-Processor-Unlocked/product-reviews/B09FXKHN7M/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=8,positive
326,Intel Core i9-12900K Gaming Desktop Processor with Integrated Graphics and 16 (8P+8E) Cores up to 5.2 GHz Unlocked LGA1700 600 Series Chipset 125W,connector pin chip,thin film donaaaaaat know receives electricity signal socket motherboard probably similar wireless charging least protects pin likely damage handling cpu build cpu second mot expensive component buildother increase core count speed couple gen ssd rtx everything else slow,8/1/2022,Sqoopi,5,https://www.amazon.com/Intel-i9-12900K-Desktop-Processor-Unlocked/product-reviews/B09FXDLX95/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=4,positive
